organization,url,size,country,description,url2,category,source,url_https,url_source
Foro de Ciencia y Tecnología para la Producción,www.forocytp.org.ar,1-10,Argentina,"Sistema fijo para inactivación ambiental rápifa de virus COVID 19

La innovación propuesta consiste en el desarrollo local de equipos para la inactivación del Covid-19 depositado sobre superficies de distinto tipo por irradiación con luz ultravioleta, cuya efectividad fue analizada por el National Institute of Health, (NIH). Esto evitaría el uso de fuentes de calor  superiores a 65 ®C o la limpieza con soluciones muy agresivas, tanto ácidas (pH< 3)  o alcalinas (pH>14).
El impacto es la reducción o freno a la difusión del virus en distintos ámbitos descritos más adelante
Desarrollo de un emprendimiento: El proyecto a desarrollar dará origen a productos que no han sido manufacturados industrialmente en el país. Este desarrollo dará lugar a la formación de un emprendimiento de producción de equipos  de esterilización por irradiación UV en Argentina.  
El irradiador UV local contará  con tubos  o diodos UV.
Las unidades inactivadoras UV de virus podrán ser de dos tipos en función del sitio de aplicación o producto a descontaminar.
1.- Unidad UV fija para objetos no textiles: con una estructura similar a un horno de microondas, pero con una fuente UV móvil o fija montada sobre el techo el piso y laterales de la estructura, para irradiar en forma lo más uniforme posible todo el recinto. La potencia de irradiación será mayor para reducir los tiempos de tratamiento y aumentar la eficiencia del proceso. Estará provista por un temporizador, un contabilizador de la dosis de radiación y programas de tratamiento de diversos tipos de superficie y alarmas.
2.- Unidad UV para textiles: está tendrá una estructura similar a un lavarropas, pero desprovista de una ventanilla de observación. Constará de un tambor giratorio horizontal de acero y fuentes de radiación UV en el fondo y puerta de la unidad, que será fijas basadas en distribución de diodos leds UV.

Quien se beneficiarían: Toda la población expuesta y que es vulnerable a la infección del COVID 19. Algunos ejemplos de relevancia, descriptos a continuación:

1)        Las personas en entidades hospitalarias, de internación, terapia intensiva, quirúrgica, salas de espera, etc. Este procedimiento puede ser aplicada en forma diaria con una logística adecuada sin y con la presencia de pacientes internados. Ésta última condición es la más exigente cuando hay pacientes que no pueden ser trasladados, y por ende deben ser protegidos durante el proceso de irradiación UV con mantas, cubiertas, guantes, máscaras antiparras UV y dispositivos, y otros elementos protectores contra la radiación, etc., cumpliendo los requisitos de protección reglamentados por los entes regulatorios
2)        Usuarios de los medios de transporte público o privado en contacto con todo tipo de superficies, metálicas, plásticas, cerámicas, telas, entre otras.
3)        Estudiantes, docentes, personal auxiliar de establecimientos educativos comedores escolares, comunitarios y merenderos. Todas las superficies del mobiliario, cocinas, paredes, uniformes, entre otras, que no podrán desinfectarse por los medios usuales de limpieza.
4)        Personal de producción de la industria de la alimentación, su cadena productiva e insumos. La irradiación de indumentaria laboral, superficies y ámbitos de trabajo, y productos entre otros elementos podrán esterilizarse 
5)        Habitantes en domicilios particulares en casas y propiedad  horizontal en la ciudad y villas En este caso, los distintos ámbitos de la casa, podrían contar con unidades  UV  portátiles para desinfección de todo tipo de superficies inaccesibles con medios mecánicos y de ropa y textiles de uso cotidiano
6)        Personal de oficinas comerciales, negocios y lugares cerrados de concentración masiva de personas (supermercados mayoristas y minoristas y comercios mayoristas de proximidad, farmacias, ferreterías, veterinarias, etc.). Estos ámbitos requerirán unidades fijas y móviles de irradiación obligatorias.

La enumeración anterior no es excluyente para ser aplicados a otras franjas de la población que lo requieran de acuerdo con el sentido común con el consenso comunitario y de urbanistas, arquitectos, etc.
",www.forocytp.org.ar/sitio/descargas/FOROCyTP_Proyecto-Esterilizacion-UV-sistemas-fijos-covid-19.pdf,Prediction and prevention,,,
Heavy Rain,www.heavyrain.tech,1-10,Argentina,"Es una plataforma inteligente que toma información en Big Data de las Redes Sociales y es capaza de llevar a cabo análisis de sentimiento. Con esta plataforma se puede identificar qué piensan los seguidores sobre el coronavirus, discriminando temporalmente, geográficamente, por mayores seguidores, por mayores detractores, a través del análisis de nodos de información, etc. 
Sin dudas, con esta herramienta las organizaciones podrán tener mayor sensibilidad a la hora de comunicar teniendo en cuenta los estados de ánimo de las audiencias.",,Big data and analytics,,,
Competir Edtech,www.competir.com,11-50,Argentina,"Competir Edtech, puso al alcance de todas las instituciones educativas y gobiernos de la región, el acceso libre y gratuito de su solución ""Aprender en Casa"", por todo el Ciclo Lectivo 2020, para los niveles primaria y secundaria. Además en conjunto con Movistar, ha disponibilizado el libre acceso para usuarios, de sus soluciones Aula365 para primaria y Educatina para secundaria. Para el hogar, estas soluciones cuentan con bonificaciones que faciliten la continuidad de los procesos de aprendizaje y enseñanza.",,Remote education,,,
Inventu,www.inventu.com.ar,11-50,Argentina,"Desarrollo de un respirador artificial de bajo costo, con afectación específica para casos de COVID-19, utilizando componentes industriales ampliamente
disponibles que permitan la rápida escalabilidad de la solución.
Trabajo en conjunto con médicos de la región, la Universidad Nacional de Rosario y el Ministerio de Producción de Argentina para entender las necesidades y tener una cadena de supply chain alineada a la situación para poder producir a demanda.
El prototipo está en etapa de prueba y validación (fecha objetivo: 25-Marzo) después de pasar exitosamente la etapa de simulación y revisión por parte de personal médico.",unrespiro.com.ar,Respirators,,,
WeHaus - Control de Acceso con Face ID y registro de temperatura,www.wehaus.com/smart-building.html,11-50,Argentina,"Terminal de checkin con control y medición de temperatura para acceso a espacios públicos o privados con app Android 100% customizable. La solución es parte de un sistema de inteligencia artificial capaz de reconocer rostros o temperatura y enviar alertas a un centro de monitoreo (integramos con varias empresas de seguridad, que procesan los eventos) como servicio de guardia virtual, evitando tener personal cuidando áreas de acceso publico pero monitoreado con un alto nivel de seguridad.

Tool Box de Productos IoT para Coronavirus + Design Sprint como proceso para adaptar el proceso a las necesidades cambiantes del negocio o procesos.
https://docs.google.com/presentation/d/1I585VsQLnV60mQduchY1FhjmGq5z7RaVUuH26Y6RmfA/present?slide=id.g7173c24199_0_4

App gestión de invitados y recepción de paquetería (organiza y reduce la cantidad de personal de front desk de companias y oficinas)
https://docs.google.com/presentation/d/1nq0yT3D1QF6OWov8bWEw6_eYxg5X28doc27awggfbIc/present",docs.google.com/presentation/d/1I585VsQLnV60mQduchY1FhjmGq5z7RaVUuH26Y6RmfA/present?slide=id.g7173c24199_0_4,Temperature screening in public spaces,,,
RENT A SOFT SA,rentasoft.com.ar,1-10,Argentina,"Plataforma RAS para  gestión on line de clinicas y centros ambulatorios, entre sus prestaciones integra la gestión de agenda online e historia clinica electrónica, que permita la interacción entre pacientes y profesionales médicos a través de centros médicos, clínicas y consultorios privados. ",docs.google.com/document/d/1zZ_nCWVj67hqhJb9Dmigj6zZTIx_KLHTRFekBVJ--Jk/edit?usp=sharing,"Telemedicine, teleassistance",,,
SpaceSUR,drive.google.com/file/d/1fJC-S5BUpbXC98XddzfUG_vOWkk6JEmk/view?usp=sharing,11-50,Argentina,"Nuestra plataforma de inteligencia geoespacial Geo.Platform permite integrar datos satelitales con datos geolocalizados de diferentes fuentes para analizar múltiples escenarios con dinámicas complejas.
- Vigilancia epidemiológica
- Planificación y gestión de respuesta integrada
- Monitoreo de aislamiento social",,Big data and analytics,,,
Nilus,nilus.online/donar,11-50,Argentina,"Contamos con una plataforma digital y solución logística que acerca alimentos nutritivos a organizaciones sociales. En el marco del corona virus estamos rescatando alimentos que iban a ser desperdiciados y llevándolos a estas organizaciones. Además, estamos canalizando donaciones para la compra, armado y delivery de kits de higiene y bolsones de alimentos para familias de bajos recursos. Estos son entregados a través de las organizaciones sociales con las que trabajamos.",www.nilus.pr,Social topics and mental health,,,
covid.19.maker.argentina,www.instagram.com/covid19_mkrsarg/,250+,Argentina,"Protector Facial

Nuestra primer propuesta se basa en un un protector facial impreso en 3D que protege toda la cara y se coloca sobre una máscara quirúrgica convencional. Protege los ojos y bloquea más eficazmente la propagación de gérmenes.Los protectores faciales consisten en una visera ajustable al contorno de la cabeza de la cual se sujeta una lámina transparente que protege la cara, de salpicaduras y contacto directo. Especialmente pensado para personal de la salud.
 Si bien en un principio es para ser utilizado en centros hospitalarios, bien podría ser empleado en otros espacio en lo cual se requiera.",docs.google.com/document/d/10gQTcITNCQz6T_9QngJzOqWhsySGLWeEXcFGqus6Rlk/edit,Other,,,
Matific,www.matific.com/ar/es-ar/home/,101-250,Argentina,"Matific es una plataforma educacional de matemáticas diseñada por expertos en pedagogía que promueve el aprendizaje personalizado para estudiantes K-12.
Siendo una plataforma gamificada Matific empodera a los alumnos a aprender a través del descubrimiento y la resolución de problemas.
En cuanto al contenido de nuestra plataforma, el mismo se alinea a los respectivos programas académicos locales.
A través de Matific los docentes, escuelas y ministerios reciben en tiempo real informes de desempeño basados en sus programas de estudio, contenidos o libros de texto.
Matific puede usarse desde cualquier dispositivo (Digital board, Laptops, Tablets y smartphones).",www.matific.com/ar/es-ar/home/complimentary-teacher/,Remote education,,,
Andaman7 with Covid19 pandemic module,www.andaman7.com/en/covid-19,11-50,Belgium,"Our solution offers 5 critical features for patients, doctors, hospitals, crisis management and medical research to help manage the crisis and support the citizens. 
they are described at https://www.andaman7.com/en/covid-19
Available en french, english y spanish. Youtube video explaining https://www.youtube.com/watch?v=PxNRVm6XQmE&feature=youtu.be",www.youtube.com/watch?v=PxNRVm6XQmE&feature=youtu.be,Digital management platforms,,,
shareMEData,www.sharemedata.com/,1-10,Bolivia,"Sistema de registros médicos e historia clínica online, somos el sistema más simple y fácil de usar en la region (15 minutos de capacitación para cualquier trabajador de salud). Pronto uniremos nuestra solución con videollamadas para poder hacer telemedicina.",,Digital management platforms,,,
